아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
광명,77㎡,경기도 광명시 광명동 308-2,경기도 광명시 새터로12번길 44,19.0,0.0,,,,,
광명,85㎡,경기도 광명시 광명동 308-2,경기도 광명시 새터로12번길 44,19.0,0.0,,,,,
광명,88C㎡,경기도 광명시 광명동 308-2,경기도 광명시 새터로12번길 44,19.0,0.0,,,,,
광명,88A㎡,경기도 광명시 광명동 308-2,경기도 광명시 새터로12번길 44,19.0,0.0,,,,,
광명,88B㎡,경기도 광명시 광명동 308-2,경기도 광명시 새터로12번길 44,19.0,0.0,,,,,
광명,162,경기도 광명시 광명동 308-2,경기도 광명시 새터로12번길 44,19.0,0.0,,,,,
광명신원,81㎡,경기도 광명시 광명동 309-1,경기도 광명시 새터로 44-9,217.0,0.0,,"4억 4,000~5억 3,500",3억,2억/50,2억/50
광명신원,103,경기도 광명시 광명동 309-1,경기도 광명시 새터로 44-9,217.0,0.0,,"6억 4,000~8억",3억~4억,"1억 5,000/100","1억 5,000/100"
광명아크포레자이위브,48㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,"4억~6억 3,000","2억 8,000~2억 8,500","3,000/90~5,000/100","3,000/90~5,000/100"
광명아크포레자이위브,59㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,5억~7억,"3억~3억 7,000","7,000/100~2억/50","7,000/100~2억/50"
광명아크포레자이위브,69A㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,"6억 3,000~8억 1,000","3억 4,000~3억 7,000",2억/60~3억/80,2억/60~3억/80
광명아크포레자이위브,69B㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,8억,,1억/160,1억/160
광명아크포레자이위브,69C㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,"6억 4,000",,,
광명아크포레자이위브,79A㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,"6억 2,000~9억 5,000","3억 7,000~5억",1억/140~4억/50,1억/140~4억/50
광명아크포레자이위브,79B㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,"6억 5,000~10억","3억 5,000~4억",2억/80,2억/80
광명아크포레자이위브,79C㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,"6억 4,500~8억","4억~4억 7,000","2억 5,000/60~2억 7,000/60","2억 5,000/60~2억 7,000/60"
광명아크포레자이위브,92A㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,"9억~10억 2,000","4억 3,000~6억 5,000",1억/130~3억/100,1억/130~3억/100
광명아크포레자이위브,92B㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,,,,
광명아크포레자이위브,92C㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,,"4억 5,000",,
광명아크포레자이위브,105A㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,"9억 5,000~12억 5,000","5억 5,000~7억","5,000/220~4억/90","5,000/220~4억/90"
광명아크포레자이위브,105C㎡,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,,,,
광명아크포레자이위브,106B,경기도 광명시 광명동 787-4,경기도 광명시 새터로 44-7,2104.0,135.0,,"10억 2,000",5억,,
광명아트빌,54㎡,경기도 광명시 광명동 29-5,경기도 광명시 광명로928번길 42-24,10.0,0.0,,,,,
광명아트빌,61A㎡,경기도 광명시 광명동 29-5,경기도 광명시 광명로928번길 42-24,10.0,0.0,,,,,
광명아트빌,61B㎡,경기도 광명시 광명동 29-5,경기도 광명시 광명로928번길 42-24,10.0,0.0,,,,,
광명아트빌,66,경기도 광명시 광명동 29-5,경기도 광명시 광명로928번길 42-24,10.0,0.0,,,,,
광명영화I-nix,81A㎡,경기도 광명시 광명동 778,경기도 광명시 광명로848번길 66,298.0,0.0,,"5억 8,000~5억 9,000",,,
광명영화I-nix,81B㎡,경기도 광명시 광명동 778,경기도 광명시 광명로848번길 66,298.0,0.0,,,,,
광명영화I-nix,100A㎡,경기도 광명시 광명동 778,경기도 광명시 광명로848번길 66,298.0,0.0,,"5억 9,000~7억","3억 5,000~4억",2억/70,2억/70
광명영화I-nix,100B,경기도 광명시 광명동 778,경기도 광명시 광명로848번길 66,298.0,0.0,,"5억 9,000","3억 5,000",2억/70,2억/70
광명월드메르디앙,81㎡,경기도 광명시 광명동 781,경기도 광명시 목감로 96,577.0,0.0,,"6억 9,000~8억","3억 4,000~4억 5,000",1억/110~3억/50,1억/110~3억/50
광명월드메르디앙,107,경기도 광명시 광명동 781,경기도 광명시 목감로 96,577.0,0.0,,"7억 4,000~8억 9,000","3억 8,000~5억","3억 8,000/40~4억/50","3억 8,000/40~4억/50"
광명중앙하이츠1차,63㎡,경기도 광명시 광명동 732,경기도 광명시 도덕로 56,909.0,0.0,,,,,
광명중앙하이츠1차,73㎡,경기도 광명시 광명동 732,경기도 광명시 도덕로 56,909.0,0.0,,"3억 8,000~5억 9,000","2억 5,000~4억",,
광명중앙하이츠1차,101㎡,경기도 광명시 광명동 732,경기도 광명시 도덕로 56,909.0,0.0,,"6억~7억 5,000","3억 3,000~3억 5,000",2억/50,2억/50
광명중앙하이츠1차,152,경기도 광명시 광명동 732,경기도 광명시 도덕로 56,909.0,0.0,,"6억 7,000~7억 8,500",4억~5억,,
광명중앙하이츠2차,80㎡,경기도 광명시 광명동 713,경기도 광명시 덕단이로 115,282.0,0.0,,"4억 3,000~5억 5,000",,,
광명중앙하이츠2차,106㎡,경기도 광명시 광명동 713,경기도 광명시 덕단이로 115,282.0,0.0,,"5억 5,000~7억",4억,,
광명중앙하이츠2차,159,경기도 광명시 광명동 713,경기도 광명시 덕단이로 115,282.0,0.0,,"6억 5,000~8억","4억 5,000~4억 9,000",,
광명푸르지오센트베르,49B㎡,경기도 광명시 광명동 322번지 일원,경기도 광명시 새터로 27,1335.0,75.0,,"4억 2,000","2억 5,000~3억 5,000","1억 2,000/60~3억 2,300/12","1억 2,000/60~3억 2,300/12"
광명푸르지오센트베르,66㎡,경기도 광명시 광명동 322번지 일원,경기도 광명시 새터로 27,1335.0,75.0,,,"3억 5,000","2억 5,530/8~3억 2,490/12","2억 5,530/8~3억 2,490/12"
광명푸르지오센트베르,80B㎡,경기도 광명시 광명동 322번지 일원,경기도 광명시 새터로 27,1335.0,75.0,,,"3억 5,000~5억 5,000","1억/130~3억 6,000/25","1억/130~3억 6,000/25"
광명푸르지오센트베르,80C㎡,경기도 광명시 광명동 322번지 일원,경기도 광명시 새터로 27,1335.0,75.0,,,"3억 6,000~6억",1억/130~3억/50,1억/130~3억/50
광명푸르지오센트베르,80A㎡,경기도 광명시 광명동 322번지 일원,경기도 광명시 새터로 27,1335.0,75.0,,"7억 2,000~8억 6,500","3억 5,000~6억","5,000/150~3억/100","5,000/150~3억/100"
광명푸르지오센트베르,112,경기도 광명시 광명동 322번지 일원,경기도 광명시 새터로 27,1335.0,75.0,,"8억 9,600~12억 6,800",4억~46억,"5,000/190~4억/120","5,000/190~4억/120"
광명한진타운,68㎡,경기도 광명시 광명동 200-6,경기도 광명시 광명로 877,1633.0,0.0,,,,,
광명한진타운,77㎡,경기도 광명시 광명동 200-6,경기도 광명시 광명로 877,1633.0,0.0,,"6억 5,000~8억 5,000","3억 5,000~4억 3,000",,
광명한진타운,110,경기도 광명시 광명동 200-6,경기도 광명시 광명로 877,1633.0,0.0,,"7억 5,000~9억",4억~5억,"2억/100~3억 5,000/60","2억/100~3억 5,000/60"
광명해모로이연,81㎡,경기도 광명시 광명동 785,경기도 광명시 목감로 58,1267.0,0.0,,"6억 9,000~7억 9,500","3억 7,000~4억",3억/30,3억/30
광명해모로이연,104A㎡,경기도 광명시 광명동 785,경기도 광명시 목감로 58,1267.0,0.0,,"7억 9,000~8억 9,000","4억 5,000~5억",,
광명해모로이연,105B㎡,경기도 광명시 광명동 785,경기도 광명시 목감로 58,1267.0,0.0,,"7억 5,000","4억 2,000~5억","6,000/180","6,000/180"
광명해모로이연,112C㎡,경기도 광명시 광명동 785,경기도 광명시 목감로 58,1267.0,0.0,,"8억 7,000~10억 5,000","4억 5,000~5억",,
광명해모로이연,112D㎡,경기도 광명시 광명동 785,경기도 광명시 목감로 58,1267.0,0.0,,"8억~8억 7,000","4억 5,000",3억/50~3억/60,3억/50~3억/60
광명해모로이연,153㎡,경기도 광명시 광명동 785,경기도 광명시 목감로 58,1267.0,0.0,,"9억 6,000~13억","4억 9,000~7억","1억/200~4억 5,000/30","1억/200~4억 5,000/30"
광명해모로이연,173A㎡,경기도 광명시 광명동 785,경기도 광명시 목감로 58,1267.0,0.0,,"10억 9,000~13억 5,000",6억~7억,,
광명해모로이연,173B,경기도 광명시 광명동 785,경기도 광명시 목감로 58,1267.0,0.0,,"13억 5,000~14억",7억,,
광명현대,84㎡,경기도 광명시 광명동 306-8,경기도 광명시 덕단이로 136,129.0,0.0,,"4억 3,000~4억 5,000",,,
광명현대,84㎡,경기도 광명시 광명동 306-8,경기도 광명시 덕단이로 136,129.0,0.0,,"5억 3,000",,,
광명현대,120,경기도 광명시 광명동 306-8,경기도 광명시 덕단이로 136,129.0,0.0,,,4억,,
광명휴먼림,64㎡,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,,,,
광명휴먼림,74㎡,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,,,,
광명휴먼림,81㎡,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,,,,
광명휴먼림,86B㎡,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,"4억 8,000",,,
광명휴먼림,86A㎡,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,,,,
광명휴먼림,89㎡,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,,,,
광명휴먼림,99㎡,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,,,,
광명휴먼림,107㎡,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,,,,
광명휴먼림,107A㎡,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,,,,
광명휴먼림,107B,경기도 광명시 광명동 783,경기도 광명시 광명로848번길 76-18,30.0,0.0,,,,,
금반석시티1차(주상복합),90㎡,경기도 광명시 광명동 158-854,경기도 광명시 오리로 1003,19.0,0.0,,,,,
금반석시티1차(주상복합),94,경기도 광명시 광명동 158-854,경기도 광명시 오리로 1003,19.0,0.0,,,,,
금반석시티2차,90㎡,경기도 광명시 광명동 98-9,경기도 광명시 목감로 220,14.0,0.0,,,,,
금반석시티2차,97,경기도 광명시 광명동 98-9,경기도 광명시 목감로 220,14.0,0.0,,6억,"3억 2,000",,
금반석시티빌40차(도시형),56㎡,경기도 광명시 광명동 213-8,경기도 광명시 너부대로35번길 7,8.0,0.0,,,,,
금반석시티빌40차(도시형),59A㎡,경기도 광명시 광명동 213-8,경기도 광명시 너부대로35번길 7,8.0,0.0,,,,,
금반석시티빌40차(도시형),60B㎡,경기도 광명시 광명동 213-8,경기도 광명시 너부대로35번길 7,8.0,0.0,,,,,
금반석시티빌40차(도시형),60C,경기도 광명시 광명동 213-8,경기도 광명시 너부대로35번길 7,8.0,0.0,,,,,
금반석시티빌43차,53A㎡,경기도 광명시 광명동 211-2,경기도 광명시 너부대로 36,12.0,0.0,,,,,
금반석시티빌43차,53B㎡,경기도 광명시 광명동 211-2,경기도 광명시 너부대로 36,12.0,0.0,,,,,
금반석시티빌43차,55A㎡,경기도 광명시 광명동 211-2,경기도 광명시 너부대로 36,12.0,0.0,,,,,
금반석시티빌43차,56B,경기도 광명시 광명동 211-2,경기도 광명시 너부대로 36,12.0,0.0,,,,,
더네스티움(도시형),54A㎡,경기도 광명시 광명동 226-7,경기도 광명시 너부대로35번길 15-24,8.0,0.0,,,,,
더네스티움(도시형),55B㎡,경기도 광명시 광명동 226-7,경기도 광명시 너부대로35번길 15-24,8.0,0.0,,,,,
더네스티움(도시형),55C㎡,경기도 광명시 광명동 226-7,경기도 광명시 너부대로35번길 15-24,8.0,0.0,,,,,
더네스티움(도시형),58,경기도 광명시 광명동 226-7,경기도 광명시 너부대로35번길 15-24,8.0,0.0,,,,,
더프라임타워(주상복합),80A㎡,경기도 광명시 광명동 102-1,경기도 광명시 광명로 942,23.0,0.0,,,,,
더프라임타워(주상복합),80B㎡,경기도 광명시 광명동 102-1,경기도 광명시 광명로 942,23.0,0.0,,,,,
더프라임타워(주상복합),80C㎡,경기도 광명시 광명동 102-1,경기도 광명시 광명로 942,23.0,0.0,,,,,
더프라임타워(주상복합),82㎡,경기도 광명시 광명동 102-1,경기도 광명시 광명로 942,23.0,0.0,,,,,
더프라임타워(주상복합),86㎡,경기도 광명시 광명동 102-1,경기도 광명시 광명로 942,23.0,0.0,,,,,
더프라임타워(주상복합),91㎡,경기도 광명시 광명동 102-1,경기도 광명시 광명로 942,23.0,0.0,,,,,
더프라임타워(주상복합),101,경기도 광명시 광명동 102-1,경기도 광명시 광명로 942,23.0,0.0,,,,,
드림이지빌(주상복합),76㎡,경기도 광명시 광명동 294-5,경기도 광명시 광오로 4-14,8.0,0.0,,,,,
드림이지빌(주상복합),81,경기도 광명시 광명동 294-5,경기도 광명시 광오로 4-14,8.0,0.0,,,,,
리버빌,54㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,58㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,61㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,66㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,68㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,76A㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,77A㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,77B㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,78B㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,82㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,85A㎡,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버빌,86B,경기도 광명시 광명동 741-1,경기도 광명시 광명로772번길 12,30.0,0.0,,,,,
리버힐,78A㎡,경기도 광명시 광명동 236-20,경기도 광명시 목감로 74,8.0,0.0,,,,,
리버힐,80C㎡,경기도 광명시 광명동 236-20,경기도 광명시 목감로 74,8.0,0.0,,,,,
리버힐,80B,경기도 광명시 광명동 236-20,경기도 광명시 목감로 74,8.0,0.0,,,,,
비발디캐슬,52A㎡,경기도 광명시 광명동 158-131,경기도 광명시 오리로984번안길 8-9,11.0,0.0,,,,,
비발디캐슬,53B㎡,경기도 광명시 광명동 158-131,경기도 광명시 오리로984번안길 8-9,11.0,0.0,,,,,
비발디캐슬,54C㎡,경기도 광명시 광명동 158-131,경기도 광명시 오리로984번안길 8-9,11.0,0.0,,,,,
비발디캐슬,59A㎡,경기도 광명시 광명동 158-131,경기도 광명시 오리로984번안길 8-9,11.0,0.0,,,,,
비발디캐슬,60B㎡,경기도 광명시 광명동 158-131,경기도 광명시 오리로984번안길 8-9,11.0,0.0,,,,,
비발디캐슬,60C㎡,경기도 광명시 광명동 158-131,경기도 광명시 오리로984번안길 8-9,11.0,0.0,,,,,
비발디캐슬,61㎡,경기도 광명시 광명동 158-131,경기도 광명시 오리로984번안길 8-9,11.0,0.0,,,,,
비발디캐슬,64,경기도 광명시 광명동 158-131,경기도 광명시 오리로984번안길 8-9,11.0,0.0,,,,,
삼성메트로빌,65A㎡,경기도 광명시 광명동 158-10,경기도 광명시 광이로13번길 9-9,8.0,0.0,,,,,
삼성메트로빌,65B㎡,경기도 광명시 광명동 158-10,경기도 광명시 광이로13번길 9-9,8.0,0.0,,,,,
삼성메트로빌,76㎡,경기도 광명시 광명동 158-10,경기도 광명시 광이로13번길 9-9,8.0,0.0,,,,,
삼성메트로빌,76㎡,경기도 광명시 광명동 158-10,경기도 광명시 광이로13번길 9-9,8.0,0.0,,,,,
삼성메트로빌,80A㎡,경기도 광명시 광명동 158-10,경기도 광명시 광이로13번길 9-9,8.0,0.0,,,,,
삼성메트로빌,80B,경기도 광명시 광명동 158-10,경기도 광명시 광이로13번길 9-9,8.0,0.0,,,,,
상우1차,77A㎡,경기도 광명시 광명동 717-3,경기도 광명시 도덕로 79,148.0,0.0,,"4억 9,000",,,
상우1차,77B㎡,경기도 광명시 광명동 717-3,경기도 광명시 도덕로 79,148.0,0.0,,"4억 6,000",,,
상우1차,109A㎡,경기도 광명시 광명동 717-3,경기도 광명시 도덕로 79,148.0,0.0,,"5억 9,000",,,
상우1차,110B㎡,경기도 광명시 광명동 717-3,경기도 광명시 도덕로 79,148.0,0.0,,"5억 9,000",,,
상우1차,162,경기도 광명시 광명동 717-3,경기도 광명시 도덕로 79,148.0,0.0,,,"4억 5,000",,
상우2차,77㎡,경기도 광명시 광명동 734,경기도 광명시 도덕로28번안길 22,169.0,0.0,,"4억~4억 6,000",,,
상우2차,91㎡,경기도 광명시 광명동 734,경기도 광명시 도덕로28번안길 22,169.0,0.0,,,,,
상우2차,95㎡,경기도 광명시 광명동 734,경기도 광명시 도덕로28번안길 22,169.0,0.0,,,,,
상우2차,99㎡,경기도 광명시 광명동 734,경기도 광명시 도덕로28번안길 22,169.0,0.0,,"5억 1,000",,,
상우2차,102㎡,경기도 광명시 광명동 734,경기도 광명시 도덕로28번안길 22,169.0,0.0,,,,,
상우2차,105A㎡,경기도 광명시 광명동 734,경기도 광명시 도덕로28번안길 22,169.0,0.0,,,,,
상우2차,107B㎡,경기도 광명시 광명동 734,경기도 광명시 도덕로28번안길 22,169.0,0.0,,"5억 5,000","3억 8,000",,
상우2차,115,경기도 광명시 광명동 734,경기도 광명시 도덕로28번안길 22,169.0,0.0,,,,,
상우3차,84B㎡,경기도 광명시 광명동 757,경기도 광명시 광명로775번길 13,128.0,0.0,,,,,
상우3차,84A㎡,경기도 광명시 광명동 757,경기도 광명시 광명로775번길 13,128.0,0.0,,"4억 8,000~5억 3,000",,"5,000/115","5,000/115"
상우3차,107㎡,경기도 광명시 광명동 757,경기도 광명시 광명로775번길 13,128.0,0.0,,"6억 2,000",,,
상우3차,116㎡,경기도 광명시 광명동 757,경기도 광명시 광명로775번길 13,128.0,0.0,,"6억 2,000~6억 7,000",,,
상우3차,142,경기도 광명시 광명동 757,경기도 광명시 광명로775번길 13,128.0,0.0,,"6억 8,000",,,
성원(주상복합),65㎡,경기도 광명시 광명동 290-24,경기도 광명시 광명로848번길 4-6,18.0,0.0,,"4억 5,000","3억 1,000~3억 3,000","2억 8,000/20","2억 8,000/20"
성원(주상복합),68,경기도 광명시 광명동 290-24,경기도 광명시 광명로848번길 4-6,18.0,0.0,,"5억~5억 3,000",3억,,
아뜨랑스,59㎡,경기도 광명시 광명동 758-4,경기도 광명시 광명로775번길 22,8.0,0.0,,,,,
아뜨랑스,61㎡,경기도 광명시 광명동 758-4,경기도 광명시 광명로775번길 22,8.0,0.0,,,,,
아뜨랑스,68A㎡,경기도 광명시 광명동 758-4,경기도 광명시 광명로775번길 22,8.0,0.0,,,,,
아뜨랑스,68B㎡,경기도 광명시 광명동 758-4,경기도 광명시 광명로775번길 22,8.0,0.0,,,,,
아뜨랑스,82,경기도 광명시 광명동 758-4,경기도 광명시 광명로775번길 22,8.0,0.0,,,"3억 9,000",,
아리안,70,경기도 광명시 광명동 346-16,경기도 광명시 광화로 6-9,3.0,0.0,,,,,
아크로빌,61㎡,경기도 광명시 광명동 334-36,경기도 광명시 광명로832번길 16-9,9.0,0.0,,,,,
아크로빌,63A㎡,경기도 광명시 광명동 334-36,경기도 광명시 광명로832번길 16-9,9.0,0.0,,,,,
아크로빌,64B,경기도 광명시 광명동 334-36,경기도 광명시 광명로832번길 16-9,9.0,0.0,,,,,
어반하우스(도시형),60A㎡,경기도 광명시 광명동 139-2,경기도 광명시 광명로928번길 12-6,8.0,0.0,,,,,
어반하우스(도시형),61B,경기도 광명시 광명동 139-2,경기도 광명시 광명로928번길 12-6,8.0,0.0,,,,,
엠코팰리체,53㎡,경기도 광명시 광명동 158-136,경기도 광명시 오리로994번길 8,11.0,0.0,,,,,
엠코팰리체,58A㎡,경기도 광명시 광명동 158-136,경기도 광명시 오리로994번길 8,11.0,0.0,,,,,
엠코팰리체,59B㎡,경기도 광명시 광명동 158-136,경기도 광명시 오리로994번길 8,11.0,0.0,,,,,
엠코팰리체,60C㎡,경기도 광명시 광명동 158-136,경기도 광명시 오리로994번길 8,11.0,0.0,,,,,
엠코팰리체,61A㎡,경기도 광명시 광명동 158-136,경기도 광명시 오리로994번길 8,11.0,0.0,,,,,
엠코팰리체,61B,경기도 광명시 광명동 158-136,경기도 광명시 오리로994번길 8,11.0,0.0,,,,,
영화,80㎡,경기도 광명시 광명동 733,경기도 광명시 도덕로54번길 27,159.0,0.0,,"4억 5,000~4억 6,000","3억~3억 2,000",,
영화,81㎡,경기도 광명시 광명동 733,경기도 광명시 도덕로54번길 27,159.0,0.0,,,,,
영화,93㎡,경기도 광명시 광명동 733,경기도 광명시 도덕로54번길 27,159.0,0.0,,"5억 2,000","2억 9,000","5,000/95~1억/80","5,000/95~1억/80"
영화,111,경기도 광명시 광명동 733,경기도 광명시 도덕로54번길 27,159.0,0.0,,,,,
우림(주상복합),89,경기도 광명시 광명동 346-54,경기도 광명시 광화로 12-10,20.0,0.0,,,"3억 5,000",,
우림2차(주상복합),91A㎡,경기도 광명시 광명동 346-55,경기도 광명시 광화로 12-6,21.0,0.0,,"5억 9,800~6억 4,500","3억 5,000~4억 2,000",,
우림2차(주상복합),91B㎡,경기도 광명시 광명동 346-55,경기도 광명시 광화로 12-6,21.0,0.0,,"5억 9,800~6억 5,500","3억 5,000","1억 5,000/85","1억 5,000/85"
우림2차(주상복합),95,경기도 광명시 광명동 346-55,경기도 광명시 광화로 12-6,21.0,0.0,,6억,"3억 5,000","4,000/160~7,000/110","4,000/160~7,000/110"
유자인(주상복합),85㎡,경기도 광명시 광명동 739-8,경기도 광명시 도덕로 33,18.0,0.0,,,,,
유자인(주상복합),89,경기도 광명시 광명동 739-8,경기도 광명시 도덕로 33,18.0,0.0,,6억,,,
이성,97A㎡,경기도 광명시 광명동 419-25,경기도 광명시 광명로812번길 15,10.0,0.0,,,,,
이성,99B,경기도 광명시 광명동 419-25,경기도 광명시 광명로812번길 15,10.0,0.0,,,,,
정다운하우스(D동),73㎡,경기도 광명시 광명동 32-190,경기도 광명시 광삼로 41,8.0,0.0,,,,,
정다운하우스(D동),76㎡,경기도 광명시 광명동 32-190,경기도 광명시 광삼로 41,8.0,0.0,,,,,
정다운하우스(D동),84A㎡,경기도 광명시 광명동 32-190,경기도 광명시 광삼로 41,8.0,0.0,,,,,
정다운하우스(D동),87B,경기도 광명시 광명동 32-190,경기도 광명시 광삼로 41,8.0,0.0,,,,,
정다움,46㎡,경기도 광명시 광명동 419-48,경기도 광명시 광명로812번길 19,14.0,0.0,,,,,
정다움,79㎡,경기도 광명시 광명동 419-48,경기도 광명시 광명로812번길 19,14.0,0.0,,,,,
정다움,89,경기도 광명시 광명동 419-48,경기도 광명시 광명로812번길 19,14.0,0.0,,,,,
제일풍경채,76㎡,경기도 광명시 광명동 784,경기도 광명시 광명로831번길 45,195.0,0.0,,"6억 8,000","4억~4억 8,000","5,000/140~1억/100","5,000/140~1억/100"
제일풍경채,106㎡,경기도 광명시 광명동 784,경기도 광명시 광명로831번길 45,195.0,0.0,,"7억 5,000~8억 8,000","4억~4억 5,000",,
제일풍경채,140,경기도 광명시 광명동 784,경기도 광명시 광명로831번길 45,195.0,0.0,,"7억 8,000",,1억/100,1억/100
중앙하이츠3차,66㎡,경기도 광명시 광명동 374-101,경기도 광명시 광명로848번길 54,127.0,0.0,,,,,
중앙하이츠3차,78㎡,경기도 광명시 광명동 374-101,경기도 광명시 광명로848번길 54,127.0,0.0,,,,,
중앙하이츠3차,83㎡,경기도 광명시 광명동 374-101,경기도 광명시 광명로848번길 54,127.0,0.0,,,,,
중앙하이츠3차,84㎡,경기도 광명시 광명동 374-101,경기도 광명시 광명로848번길 54,127.0,0.0,,"5억 5,000",,,
중앙하이츠3차,115㎡,경기도 광명시 광명동 374-101,경기도 광명시 광명로848번길 54,127.0,0.0,,"6억 3,000",,,
중앙하이츠3차,120,경기도 광명시 광명동 374-101,경기도 광명시 광명로848번길 54,127.0,0.0,,"6억 3,000",,"5,000/120","5,000/120"
태산하우징(도시형),25A㎡,경기도 광명시 광명동 158-527,경기도 광명시 오리로975번길 7,16.0,0.0,,"1억 3,000",,,
태산하우징(도시형),26B㎡,경기도 광명시 광명동 158-527,경기도 광명시 오리로975번길 7,16.0,0.0,,,,,
태산하우징(도시형),26C㎡,경기도 광명시 광명동 158-527,경기도 광명시 오리로975번길 7,16.0,0.0,,,,,
태산하우징(도시형),46,경기도 광명시 광명동 158-527,경기도 광명시 오리로975번길 7,16.0,0.0,,,,,
팰리스필1차,78㎡,경기도 광명시 광명동 777,경기도 광명시 새터로 78,98.0,0.0,,,,,
팰리스필1차,85㎡,경기도 광명시 광명동 777,경기도 광명시 새터로 78,98.0,0.0,,"4억 5,000~6억",,"8,000/135","8,000/135"
팰리스필1차,95,경기도 광명시 광명동 777,경기도 광명시 새터로 78,98.0,0.0,,"6억 5,000~7억",,,
팰리스필2차,81㎡,경기도 광명시 광명동 782,경기도 광명시 새터안로12번길 9,157.0,0.0,,,,,
팰리스필2차,104A㎡,경기도 광명시 광명동 782,경기도 광명시 새터안로12번길 9,157.0,0.0,,,,,
팰리스필2차,107B㎡,경기도 광명시 광명동 782,경기도 광명시 새터안로12번길 9,157.0,0.0,,"6억~6억 5,000",,,
팰리스필2차,107A㎡,경기도 광명시 광명동 782,경기도 광명시 새터안로12번길 9,157.0,0.0,,,"3억 5,000",,
팰리스필2차,119B㎡,경기도 광명시 광명동 782,경기도 광명시 새터안로12번길 9,157.0,0.0,,,,,
팰리스필2차,142,경기도 광명시 광명동 782,경기도 광명시 새터안로12번길 9,157.0,0.0,,,,,
팰리스필3차(주상복합),74A㎡,경기도 광명시 광명동 337-40,경기도 광명시 광명로848번길 32-2,40.0,0.0,,,,,
팰리스필3차(주상복합),74B㎡,경기도 광명시 광명동 337-40,경기도 광명시 광명로848번길 32-2,40.0,0.0,,,"3억 2,000~3억 6,000",,
팰리스필3차(주상복합),83㎡,경기도 광명시 광명동 337-40,경기도 광명시 광명로848번길 32-2,40.0,0.0,,,"3억 3,000",,
팰리스필3차(주상복합),105㎡,경기도 광명시 광명동 337-40,경기도 광명시 광명로848번길 32-2,40.0,0.0,,,"4억 1,000",,
팰리스필3차(주상복합),105,경기도 광명시 광명동 337-40,경기도 광명시 광명로848번길 32-2,40.0,0.0,,,,,
하나(도시형),28A㎡,경기도 광명시 광명동 158-802,경기도 광명시 오리로985번길 7-1,18.0,0.0,,,,,
