아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,가격,매매호가,전세호가,월세호가,실거래가
길음뉴타운11단지롯데캐슬골든힐스,82A㎡,서울시 성북구 길음동 1287-1,서울시 성북구 서경로 60,399.0,40.0,83500.0,8억~9억,"4억 9,000~5억 8,000",,
길음뉴타운11단지롯데캐슬골든힐스,82C㎡,서울시 성북구 길음동 1287-1,서울시 성북구 서경로 60,399.0,40.0,83500.0,"8억 8,000",,,
길음뉴타운11단지롯데캐슬골든힐스,82B㎡,서울시 성북구 길음동 1287-1,서울시 성북구 서경로 60,399.0,40.0,83500.0,,,,
길음뉴타운11단지롯데캐슬골든힐스,82T㎡,서울시 성북구 길음동 1287-1,서울시 성북구 서경로 60,399.0,40.0,,"10억 5,000",,,
길음뉴타운11단지롯데캐슬골든힐스,100㎡,서울시 성북구 길음동 1287-1,서울시 성북구 서경로 60,399.0,40.0,91000,"9억 5,000~10억 5,000","5억 3,000~6억",,
길음뉴타운11단지롯데캐슬골든힐스,114A㎡,서울시 성북구 길음동 1287-1,서울시 성북구 서경로 60,399.0,40.0,107000,"9억 7,000~12억 5,000","5억 7,000~6억",1억/200~4억/80,1억/200~4억/80
길음뉴타운11단지롯데캐슬골든힐스,115B,서울시 성북구 길음동 1287-1,서울시 성북구 서경로 60,399.0,40.0,107000,"9억 3,000~12억","5억~6억 5,000","4억/60~4억 5,000/30","4억/60~4억 5,000/30"
길음뉴타운2단지푸르지오,77B㎡,서울시 성북구 길음동 1280,서울시 성북구 길음로 119,1634.0,0.0,,"8억 2,000~9억 3,000","4억~4억 4,000","1억 9,000/80","1억 9,000/80"
길음뉴타운2단지푸르지오,77C㎡,서울시 성북구 길음동 1280,서울시 성북구 길음로 119,1634.0,0.0,91000,"6억 9,000~9억 5,000","3억 6,500~4억 3,000","5,000/140","5,000/140"
길음뉴타운2단지푸르지오,78A㎡,서울시 성북구 길음동 1280,서울시 성북구 길음로 119,1634.0,0.0,83500,"7억~8억 5,000","3억 6,000~3억 9,000",1억/150,1억/150
길음뉴타운2단지푸르지오,112㎡,서울시 성북구 길음동 1280,서울시 성북구 길음로 119,1634.0,0.0,107000,"8억 7,000~10억 5,000","4억 5,000~5억 9,000","5,000/200~4억/60","5,000/200~4억/60"
길음뉴타운2단지푸르지오,135㎡,서울시 성북구 길음동 1280,서울시 성북구 길음로 119,1634.0,0.0,107000,"9억 2,000~11억 9,000","5억 3,000~8억 5,000",1억/250~5억/40,1억/250~5억/40
길음뉴타운2단지푸르지오,166,서울시 성북구 길음동 1280,서울시 성북구 길음로 119,1634.0,0.0,83500,"11억 8,000~12억",,,
길음뉴타운3단지푸르지오,77B㎡,서울시 성북구 길음동 1280-1,서울시 성북구 길음로13길 39,434.0,0.0,,"7억~8억 1,000","4억 5,000",,
길음뉴타운3단지푸르지오,77C㎡,서울시 성북구 길음동 1280-1,서울시 성북구 길음로13길 39,434.0,0.0,91000,"6억 5,000~7억","4억~4억 5,000",2억/70~3억/40,2억/70~3억/40
길음뉴타운3단지푸르지오,112,서울시 성북구 길음동 1280-1,서울시 성북구 길음로13길 39,434.0,0.0,107000,"7억 9,000~10억","4억 4,000~6억",1억/160~4억/60,1억/160~4억/60
길음뉴타운4단지e편한세상,79A㎡,서울시 성북구 길음동 1281,서울시 성북구 길음로 118,1605.0,0.0,83500.0,"7억 3,000~8억 5,000","4억 3,000~5억","5,000/140~2억/100","5,000/140~2억/100"
길음뉴타운4단지e편한세상,79C㎡,서울시 성북구 길음동 1281,서울시 성북구 길음로 118,1605.0,0.0,91000.0,"8억~8억 7,500",4억~5억,"2억/130~3억 6,000/30","2억/130~3억 6,000/30"
길음뉴타운4단지e편한세상,80B㎡,서울시 성북구 길음동 1281,서울시 성북구 길음로 118,1605.0,0.0,,"7억 1,000~8억 9,500",,,
길음뉴타운4단지e편한세상,109㎡,서울시 성북구 길음동 1281,서울시 성북구 길음로 118,1605.0,0.0,107000,9억~12억,"4억 8,000~6억","2억/170~4억 9,000/40","2억/170~4억 9,000/40"
길음뉴타운4단지e편한세상,125㎡,서울시 성북구 길음동 1281,서울시 성북구 길음로 118,1605.0,0.0,107000,"9억 5,000~11억 9,000",,,
길음뉴타운4단지e편한세상,143,서울시 성북구 길음동 1281,서울시 성북구 길음로 118,1605.0,0.0,83500,"11억~14억 5,000",7억,2억/200,2억/200
길음뉴타운5단지래미안,81㎡,서울시 성북구 길음동 1282,서울시 성북구 길음로 74,560.0,0.0,83500.0,"7억 8,500~9억 3,000","3억 9,000~5억 5,000",,
길음뉴타운5단지래미안,109㎡,서울시 성북구 길음동 1282,서울시 성북구 길음로 74,560.0,0.0,83500.0,11억~12억,"5억 5,000~6억 5,000","3억/120~3억 5,000/100","3억/120~3억 5,000/100"
길음뉴타운5단지래미안,137,서울시 성북구 길음동 1282,서울시 성북구 길음로 74,560.0,0.0,,"12억 6,000~14억 5,000",7억,5억/100,5억/100
길음뉴타운6단지래미안,78㎡,서울시 성북구 길음동 1283,서울시 성북구 길음로 16,977.0,0.0,83500.0,"7억 2,000~9억 5,000","4억 6,000~5억","5,000/160~4억 2,000/30","5,000/160~4억 2,000/30"
길음뉴타운6단지래미안,104N㎡,서울시 성북구 길음동 1283,서울시 성북구 길음로 16,977.0,0.0,83500.0,"11억~14억 5,000",6억~7억,,
길음뉴타운6단지래미안,104S㎡,서울시 성북구 길음동 1283,서울시 성북구 길음로 16,977.0,0.0,,"10억 5,000~12억 5,000","5억 5,000~6억 9,000",2억/110,2억/110
길음뉴타운6단지래미안,134N㎡,서울시 성북구 길음동 1283,서울시 성북구 길음로 16,977.0,0.0,91000,,,,
길음뉴타운6단지래미안,134S,서울시 성북구 길음동 1283,서울시 성북구 길음로 16,977.0,0.0,107000,15억,"8억 5,000",,
길음뉴타운7단지두산위브,84A㎡,서울시 성북구 길음동 1285,서울시 성북구 길음로13길 22,449.0,0.0,83500.0,"9억 3,000~9억 8,000",,,
길음뉴타운7단지두산위브,87B㎡,서울시 성북구 길음동 1285,서울시 성북구 길음로13길 22,449.0,0.0,83500.0,"8억 7,000","4억 5,000~4억 9,000",,
길음뉴타운7단지두산위브,112A㎡,서울시 성북구 길음동 1285,서울시 성북구 길음로13길 22,449.0,0.0,,"11억 5,000~12억 3,000","5억 4,000~7억",1억/200~4억/70,1억/200~4억/70
길음뉴타운7단지두산위브,112B㎡,서울시 성북구 길음동 1285,서울시 성북구 길음로13길 22,449.0,0.0,91000,"11억 5,000~12억","5억 5,000~7억 3,000","3억/120~5억 5,000/40","3억/120~5억 5,000/40"
길음뉴타운7단지두산위브,145B㎡,서울시 성북구 길음동 1285,서울시 성북구 길음로13길 22,449.0,0.0,107000,"13억~15억 3,000","8억 5,000",,
길음뉴타운7단지두산위브,146A,서울시 성북구 길음동 1285,서울시 성북구 길음로13길 22,449.0,0.0,107000,"14억 5,000~16억",,,
길음뉴타운8단지래미안,80㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,83500.0,,"4억~5억 6,000",,
길음뉴타운8단지래미안,81㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,83500.0,8억,,,
길음뉴타운8단지래미안,84A㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,,"8억 9,000~10억 3,000","4억 3,000~5억 5,000","5,000/160~3억 2,000/55","5,000/160~3억 2,000/55"
길음뉴타운8단지래미안,85C㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,107000,"8억 2,000~10억 5,000","4억 5,000~5억 5,000",2억/120~3억/110,2억/120~3억/110
길음뉴타운8단지래미안,85B㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,91000,"8억 9,000~9억","5억~5억 2,000",,
길음뉴타운8단지래미안,111A㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,,"11억 9,000~14억","5억 5,000~6억",1억/200~4억/100,1억/200~4억/100
길음뉴타운8단지래미안,112C㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,,"9억 3,000~13억 8,000","5억 7,000~7억",1억/200~5억/40,1억/200~5억/40
길음뉴타운8단지래미안,112B㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,,13억,"7억 5,000","1억/200~4억 5,000/50","1억/200~4억 5,000/50"
길음뉴타운8단지래미안,144B㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,83500,"13억~14억 8,000",9억,,
길음뉴타운8단지래미안,145A㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,107000,14억,7억~10억,2억/230~5억/110,2억/230~5억/110
길음뉴타운8단지래미안,145C㎡,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,,"14억 3,000",,"5,000/300","5,000/300"
길음뉴타운8단지래미안,145D,서울시 성북구 길음동 1284,서울시 성북구 길음로 33,1497.0,0.0,,,,,
길음뉴타운9단지래미안,79B㎡,서울시 성북구 길음동 1286,서울시 성북구 길음로9길 50,1012.0,0.0,,"10억 5,000~10억 6,000","4억 8,000~5억 1,000","1억/150~2억 5,000/100","1억/150~2억 5,000/100"
길음뉴타운9단지래미안,79A㎡,서울시 성북구 길음동 1286,서울시 성북구 길음로9길 50,1012.0,0.0,83500,"7억 9,000~10억 6,000","4억 8,000~5억 4,000","5,000/180~4억/50","5,000/180~4억/50"
길음뉴타운9단지래미안,82㎡,서울시 성북구 길음동 1286,서울시 성북구 길음로9길 50,1012.0,0.0,83500,,,,
길음뉴타운9단지래미안,106B㎡,서울시 성북구 길음동 1286,서울시 성북구 길음로9길 50,1012.0,0.0,83500,"12억 5,000",6억,,
길음뉴타운9단지래미안,107A㎡,서울시 성북구 길음동 1286,서울시 성북구 길음로9길 50,1012.0,0.0,,"12억 5,000~13억",,2억/140,2억/140
길음뉴타운9단지래미안,109㎡,서울시 성북구 길음동 1286,서울시 성북구 길음로9길 50,1012.0,0.0,,11억~13억,"5억 9,530~6억 3,000",4억/80,4억/80
길음뉴타운9단지래미안,142B㎡,서울시 성북구 길음동 1286,서울시 성북구 길음로9길 50,1012.0,0.0,107000,15억~17억,,5억/150,5억/150
길음뉴타운9단지래미안,143A㎡,서울시 성북구 길음동 1286,서울시 성북구 길음로9길 50,1012.0,0.0,91000,"14억 5,000~16억 5,000","7억 9,000~9억",7억/60~7억/67,7억/60~7억/67
길음뉴타운9단지래미안,165,서울시 성북구 길음동 1286,서울시 성북구 길음로9길 50,1012.0,0.0,107000,15억~18억,,,
길음동부센트레빌,80㎡,서울시 성북구 길음동 1278,서울시 성북구 숭인로2길 61,1377.0,0.0,83500.0,"7억 1,000~8억 2,000","3억 9,000~4억 5,000",2억/80~3억/100,2억/80~3억/100
길음동부센트레빌,111㎡,서울시 성북구 길음동 1278,서울시 성북구 숭인로2길 61,1377.0,0.0,,"7억 9,500~11억","4억 3,000~5억","5,000/160~2억/120","5,000/160~2억/120"
길음동부센트레빌,142,서울시 성북구 길음동 1278,서울시 성북구 숭인로2길 61,1377.0,0.0,91000,11억~13억,6억~8억,"1억 5,000/200~4억 7,000/50","1억 5,000/200~4억 7,000/50"
길음래미안1차,78㎡,서울시 성북구 길음동 1279,서울시 성북구 길음로9길 40,1125.0,0.0,83500.0,"6억 9,000~8억","3억 5,000~4억 7,000","5,000/160~2억/90","5,000/160~2억/90"
길음래미안1차,104㎡,서울시 성북구 길음동 1279,서울시 성북구 길음로9길 40,1125.0,0.0,83500.0,"9억 2,000~11억 5,000","4억 9,000~6억 5,000","3억/80~3억 5,000/80","3억/80~3억 5,000/80"
길음래미안1차,136,서울시 성북구 길음동 1279,서울시 성북구 길음로9길 40,1125.0,0.0,,"13억~13억 5,000","6억~6억 5,000","5,000/250~5억/50","5,000/250~5억/50"
길음현대,42㎡,서울시 성북구 길음동 1277,서울시 성북구 길음로13길 11,132.0,0.0,83500.0,"4억 9,000",,,
길음현대,78㎡,서울시 성북구 길음동 1277,서울시 성북구 길음로13길 11,132.0,0.0,83500.0,"6억 9,000~7억 3,000","3억 9,000",1억/120,1억/120
길음현대,94,서울시 성북구 길음동 1277,서울시 성북구 길음로13길 11,132.0,0.0,,,,,
돈암삼부(삼부컨비니언),80㎡,서울시 성북구 길음동 1276,서울시 성북구 동소문로 248,684.0,0.0,83500.0,6억~8억,"3억 2,000~4억 3,000","5,000/90~1억 7,000/60","5,000/90~1억 7,000/60"
돈암삼부(삼부컨비니언),98A㎡,서울시 성북구 길음동 1276,서울시 성북구 동소문로 248,684.0,0.0,83500.0,"9억 5,000","4억~4억 5,000",,
돈암삼부(삼부컨비니언),98C㎡,서울시 성북구 길음동 1276,서울시 성북구 동소문로 248,684.0,0.0,107000.0,"8억 3,000",5억,1억/140,1억/140
돈암삼부(삼부컨비니언),99B㎡,서울시 성북구 길음동 1276,서울시 성북구 동소문로 248,684.0,0.0,91000.0,,,,
돈암삼부(삼부컨비니언),127,서울시 성북구 길음동 1276,서울시 성북구 동소문로 248,684.0,0.0,,10억~12억,"5억 2,000~6억 5,000","3억/60~3억 8,500/30","3억/60~3억 8,500/30"
래미안길음센터피스,83A㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,83500.0,"9억 4,000~12억 5,000",5억~6억,"5,000/195~5억/50","5,000/195~5억/50"
래미안길음센터피스,83B㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,,"9억 5,000~13억 5,000","4억 7,000~6억 5,000","5,000/190~3억 5,000/90","5,000/190~3억 5,000/90"
래미안길음센터피스,83C㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,83500,"10억 3,000~12억 7,000","5억 1,000~7억","5,000/190~4억/50","5,000/190~4억/50"
래미안길음센터피스,84D㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,91000,"10억~11억 3,000","5억 3,000~6억 5,000",,
래미안길음센터피스,117E㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,107000,14억~18억,"6억 9,500~8억",5억/80~6억/110,5억/80~6억/110
래미안길음센터피스,117F㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,,,"6억 9,500~7억 5,000","670/670~5억 3,000/90","670/670~5억 3,000/90"
래미안길음센터피스,117A㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,107000,,,,
래미안길음센터피스,117B㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,83500,,"7억 5,000",,
래미안길음센터피스,118C㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,,"14억 5,000~16억","7억 5,000~8억",3억/175~5억/90,3억/175~5억/90
래미안길음센터피스,118D㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,,"15억~16억 5,000","8억 5,000~9억",,
래미안길음센터피스,143㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,,,,,
래미안길음센터피스,151㎡,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,,22억,13억,,
래미안길음센터피스,168,서울시 성북구 길음동 1288,서울시 성북구 숭인로 50,2352.0,633.0,,30억,16억,3억/400~5억/330,3억/400~5억/330
롯데캐슬클라시아,82B㎡,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,83500.0,"9억 5,000~11억 5,000","6억 5,000~6억 7,000",2억/170~4억/90,2억/170~4억/90
롯데캐슬클라시아,82A㎡,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,83500.0,11억,"6억 7,000~6억 8,000",,
롯데캐슬클라시아,83C㎡,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,,"12억 5,000","6억 4,000~6억 5,000",1억/190~3억/140,1억/190~3억/140
롯데캐슬클라시아,108D㎡,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,107000,"17억 5,000",8억~9억,"7,000/280~6억/120","7,000/280~6억/120"
롯데캐슬클라시아,108B㎡,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,91000,,8억,"7,000/280~5억/150","7,000/280~5억/150"
롯데캐슬클라시아,108C㎡,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,,"17억 5,000",,"2억 5,000/180","2억 5,000/180"
롯데캐슬클라시아,108E㎡,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,107000,"17억 5,000",,"1,000/70","1,000/70"
롯데캐슬클라시아,109A㎡,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,83500,"16억 5,000~20억","7억~8억 5,000",1억/260~6억/90,1억/260~6억/90
롯데캐슬클라시아,140B㎡,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,,,13억,"1,000/70~7억 5,000/150","1,000/70~7억 5,000/150"
롯데캐슬클라시아,140A,서울시 성북구 길음동 1289,서울시 성북구 숭인로8길 80,2029.0,351.0,,,,"7억 5,000/150~7억 5,000/170","7억 5,000/150~7억 5,000/170"
마이바움길음(도시형),22A㎡,서울시 성북구 길음동 488-24,서울시 성북구 도봉로3길 22-7,22.0,0.0,83500.0,,,,
마이바움길음(도시형),22B㎡,서울시 성북구 길음동 488-24,서울시 성북구 도봉로3길 22-7,22.0,0.0,83500.0,,,,
마이바움길음(도시형),23C㎡,서울시 성북구 길음동 488-24,서울시 성북구 도봉로3길 22-7,22.0,0.0,,,,,
마이바움길음(도시형),24A㎡,서울시 성북구 길음동 488-24,서울시 성북구 도봉로3길 22-7,22.0,0.0,107000,,,,
마이바움길음(도시형),24D㎡,서울시 성북구 길음동 488-24,서울시 성북구 도봉로3길 22-7,22.0,0.0,91000,,,,
마이바움길음(도시형),25B㎡,서울시 성북구 길음동 488-24,서울시 성북구 도봉로3길 22-7,22.0,0.0,107000,,,,
마이바움길음(도시형),26C㎡,서울시 성북구 길음동 488-24,서울시 성북구 도봉로3길 22-7,22.0,0.0,83500,,,,
마이바움길음(도시형),29,서울시 성북구 길음동 488-24,서울시 성북구 도봉로3길 22-7,22.0,0.0,,,,,
신아맨션,84㎡,서울시 성북구 길음동 1076,서울시 성북구 삼양로 16,10.0,0.0,83500.0,,,,
신아맨션,86A㎡,서울시 성북구 길음동 1076,서울시 성북구 삼양로 16,10.0,0.0,83500.0,,,,
신아맨션,86B,서울시 성북구 길음동 1076,서울시 성북구 삼양로 16,10.0,0.0,,,,,
신안파크,84㎡,서울시 성북구 길음동 635-168,서울시 성북구 길음로 141,252.0,0.0,83500.0,"5억 8,000~6억 1,000","2억 7,000~3억",,
신안파크,96,서울시 성북구 길음동 635-168,서울시 성북구 길음로 141,252.0,0.0,83500.0,"6억 9,000~7억 2,000",4억,"2억 5,000/70~3억/50","2억 5,000/70~3억/50"
에스엠파크(도시형),37㎡,서울시 성북구 길음동 1215,서울시 성북구 삼양로9길 9-9,15.0,0.0,83500.0,,,,
에스엠파크(도시형),42㎡,서울시 성북구 길음동 1215,서울시 성북구 삼양로9길 9-9,15.0,0.0,83500.0,,,,
에스엠파크(도시형),44A㎡,서울시 성북구 길음동 1215,서울시 성북구 삼양로9길 9-9,15.0,0.0,,,,,
에스엠파크(도시형),45B,서울시 성북구 길음동 1215,서울시 성북구 삼양로9길 9-9,15.0,0.0,91000,,,,
에스엠파크2차(도시형),34㎡,서울시 성북구 길음동 1205,서울시 성북구 삼양로9길 13-13,14.0,0.0,83500.0,,,,
에스엠파크2차(도시형),45㎡,서울시 성북구 길음동 1205,서울시 성북구 삼양로9길 13-13,14.0,0.0,83500.0,,,,
에스엠파크2차(도시형),49㎡,서울시 성북구 길음동 1205,서울시 성북구 삼양로9길 13-13,14.0,0.0,,,,,
에스엠파크2차(도시형),53㎡,서울시 성북구 길음동 1205,서울시 성북구 삼양로9길 13-13,14.0,0.0,91000,,,,
에스엠파크2차(도시형),55㎡,서울시 성북구 길음동 1205,서울시 성북구 삼양로9길 13-13,14.0,0.0,107000,,,,
에스엠파크2차(도시형),68,서울시 성북구 길음동 1205,서울시 성북구 삼양로9길 13-13,14.0,0.0,107000,,,,
에스엠파크3차(도시형),34㎡,서울시 성북구 길음동 1207,서울시 성북구 삼양로9길 13-7,14.0,0.0,83500.0,,,,
에스엠파크3차(도시형),45㎡,서울시 성북구 길음동 1207,서울시 성북구 삼양로9길 13-7,14.0,0.0,83500.0,,,,
에스엠파크3차(도시형),49㎡,서울시 성북구 길음동 1207,서울시 성북구 삼양로9길 13-7,14.0,0.0,,,,,
에스엠파크3차(도시형),53㎡,서울시 성북구 길음동 1207,서울시 성북구 삼양로9길 13-7,14.0,0.0,91000,,,,
에스엠파크3차(도시형),54㎡,서울시 성북구 길음동 1207,서울시 성북구 삼양로9길 13-7,14.0,0.0,107000,"5억 5,000",,,
에스엠파크3차(도시형),68,서울시 성북구 길음동 1207,서울시 성북구 삼양로9길 13-7,14.0,0.0,107000,,,,
길음역금호어울림센터힐,77B㎡,서울시 성북구 돈암동 643,서울시 성북구 동소문로34길 73,490.0,84.0,88250.0,"8억 5,000~8억 8,000","4억 7,000~4억 8,000",4억/40,4억/40
길음역금호어울림센터힐,78A㎡,서울시 성북구 돈암동 643,서울시 성북구 동소문로34길 73,490.0,84.0,88250.0,8억~9억,,,
길음역금호어울림센터힐,108C㎡,서울시 성북구 돈암동 643,서울시 성북구 동소문로34길 73,490.0,84.0,105750.0,11억,,"4억 8,000/60","4억 8,000/60"
길음역금호어울림센터힐,108D㎡,서울시 성북구 돈암동 643,서울시 성북구 동소문로34길 73,490.0,84.0,105750.0,"11억~11억 5,000",6억~7억,3억/130~4억/90,3억/130~4억/90
길음역금호어울림센터힐,108A㎡,서울시 성북구 돈암동 643,서울시 성북구 동소문로34길 73,490.0,84.0,105750.0,10억,6억~7억,,
길음역금호어울림센터힐,108B㎡,서울시 성북구 돈암동 643,서울시 성북구 동소문로34길 73,490.0,84.0,105750.0,"10억 2,000~10억 3,000","6억 7,000","2억 9,000/135~3억/120","2억 9,000/135~3억/120"
길음역금호어울림센터힐,109E㎡,서울시 성북구 돈암동 643,서울시 성북구 동소문로34길 73,490.0,84.0,105750.0,"10억 5,000","6억 2,000~6억 5,000","3억 5,000/95","3억 5,000/95"
길음역금호어울림센터힐,151,서울시 성북구 돈암동 643,서울시 성북구 동소문로34길 73,490.0,84.0,126750.0,"14억 5,000",,,
돈암대성유니드,110㎡,서울시 성북구 돈암동 641,서울시 성북구 동소문로31길 6-1,81.0,0.0,88250.0,,,,
돈암대성유니드,113㎡,서울시 성북구 돈암동 641,서울시 성북구 동소문로31길 6-1,81.0,0.0,105750.0,,,,
돈암대성유니드,114㎡,서울시 성북구 돈암동 641,서울시 성북구 동소문로31길 6-1,81.0,0.0,88250.0,"8억 2,000~8억 5,000","5억 5,000",,
돈암대성유니드,127㎡,서울시 성북구 돈암동 641,서울시 성북구 동소문로31길 6-1,81.0,0.0,126750.0,,,,
돈암대성유니드,139㎡,서울시 성북구 돈암동 641,서울시 성북구 동소문로31길 6-1,81.0,0.0,105750.0,,,,
돈암대성유니드,145,서울시 성북구 돈암동 641,서울시 성북구 동소문로31길 6-1,81.0,0.0,105750.0,,,,
돈암더샵,106A㎡,서울시 성북구 돈암동 603,서울시 성북구 아리랑로5길 85,339.0,0.0,88250.0,8억,4억,"3억 8,000/30","3억 8,000/30"
돈암더샵,106B㎡,서울시 성북구 돈암동 603,서울시 성북구 아리랑로5길 85,339.0,0.0,88250.0,,,,
돈암더샵,107C,서울시 성북구 돈암동 603,서울시 성북구 아리랑로5길 85,339.0,0.0,126750.0,"7억 9,000~9억 5,000","4억~5억 5,000","3억/100~3억 8,000/30","3억/100~3억 8,000/30"
돈암브라운스톤,82㎡,서울시 성북구 돈암동 636,서울시 성북구 북악산로 844,1074.0,0.0,88250.0,"7억 5,000~9억","4억~5억 5,000","1억 5,000/120~4억/50","1억 5,000/120~4억/50"
돈암브라운스톤,90㎡,서울시 성북구 돈암동 636,서울시 성북구 북악산로 844,1074.0,0.0,88250.0,,,,
돈암브라운스톤,109㎡,서울시 성북구 돈암동 636,서울시 성북구 북악산로 844,1074.0,0.0,126750.0,"8억 1,000~12억","5억 7,000~6억 5,000","3억/130~5억 2,000/30","3억/130~5억 2,000/30"
돈암브라운스톤,145,서울시 성북구 돈암동 636,서울시 성북구 북악산로 844,1074.0,0.0,105750.0,"13억 5,000","6억 9,000",,
돈암삼성,79㎡,서울시 성북구 돈암동 15-1,서울시 성북구 동소문로34길 24,1278.0,0.0,88250.0,"5억 9,000~7억 7,000","3억 5,000~4억 2,000","1억/100~3억 1,000/50","1억/100~3억 1,000/50"
돈암삼성,105㎡,서울시 성북구 돈암동 15-1,서울시 성북구 동소문로34길 24,1278.0,0.0,126750.0,"8억 3,000~9억 3,000","4억~5억 4,000","1억/150~3억 7,000/80","1억/150~3억 7,000/80"
돈암삼성,137,서울시 성북구 돈암동 15-1,서울시 성북구 동소문로34길 24,1278.0,0.0,105750.0,"8억 1,000~10억 5,000","5억~6억 6,000","1억/160~4억 5,000/60","1억/160~4억 5,000/60"
돈암코오롱하늘채,79A㎡,서울시 성북구 돈암동 644,서울시 성북구 아리랑로 75,629.0,107.0,88250.0,"8억 8,000~10억 5,000","5억 9,000~6억",1억/150~4억/60,1억/150~4억/60
돈암코오롱하늘채,79B㎡,서울시 성북구 돈암동 644,서울시 성북구 아리랑로 75,629.0,107.0,126750.0,,"5억 3,000",1억/150~4억/60,1억/150~4억/60
돈암코오롱하늘채,79T㎡,서울시 성북구 돈암동 644,서울시 성북구 아리랑로 75,629.0,107.0,88250.0,11억,,,
돈암코오롱하늘채,110C㎡,서울시 성북구 돈암동 644,서울시 성북구 아리랑로 75,629.0,107.0,105750.0,"12억 5,000",6억~7억,4억/120~5억/90,4억/120~5억/90
돈암코오롱하늘채,111D㎡,서울시 성북구 돈암동 644,서울시 성북구 아리랑로 75,629.0,107.0,105750.0,12억~13억,"6억 5,000~7억",3억/150~5억/90,3억/150~5억/90
돈암코오롱하늘채,112A㎡,서울시 성북구 돈암동 644,서울시 성북구 아리랑로 75,629.0,107.0,105750.0,10억,6억~8억,,
돈암코오롱하늘채,112E㎡,서울시 성북구 돈암동 644,서울시 성북구 아리랑로 75,629.0,107.0,105750.0,"10억 5,000~11억","6억 5,000~8억",,
돈암코오롱하늘채,112B㎡,서울시 성북구 돈암동 644,서울시 성북구 아리랑로 75,629.0,107.0,105750.0,"12억 5,000","7억 5,000",3억/120,3억/120
돈암코오롱하늘채,147,서울시 성북구 돈암동 644,서울시 성북구 아리랑로 75,629.0,107.0,,,,5억/120,5억/120
돈암풍림,75㎡,서울시 성북구 돈암동 632,서울시 성북구 북악산로 913,460.0,0.0,88250.0,"6억~6억 8,000","3억 4,000~3억 5,000",,
돈암풍림,107㎡,서울시 성북구 돈암동 632,서울시 성북구 북악산로 913,460.0,0.0,126750.0,"7억 5,000~8억","4억 8,000~5억","5,000/160~3억/50","5,000/160~3억/50"
돈암풍림,145,서울시 성북구 돈암동 632,서울시 성북구 북악산로 913,460.0,0.0,105750.0,"8억 9,000~10억","5억 5,000~6억 5,000",3억/100,3억/100
돈암해피트리,109A㎡,서울시 성북구 돈암동 642,서울시 성북구 아리랑로5길 92,192.0,0.0,88250.0,8억~9억,,,
돈암해피트리,109B㎡,서울시 성북구 돈암동 642,서울시 성북구 아리랑로5길 92,192.0,0.0,88250.0,9억~10억,,,
